,num_bandeja,idx,longitud_hoja,calidad_plantin,prediccion_calidad,h_filename,v_filename,pre_eval,evaluacion_prediccion
127,2,A56,41.15,2.0,3.0,h-2024-07-04_16-25-35.611084_ll_A56_C3.jpg,v-2024-07-04_16-25-35.611084_ll_A56_C3.jpg,-1.0,0.0
128,2,A57,38.79,2.0,3.0,h-2024-07-04_16-25-49.747625_ll_A57_C3.jpg,v-2024-07-04_16-25-49.747625_ll_A57_C3.jpg,-1.0,0.0
129,2,A58,35.24,2.0,3.0,h-2024-07-04_16-26-04.192069_ll_A58_C3.jpg,v-2024-07-04_16-26-04.192069_ll_A58_C3.jpg,-1.0,0.0
130,2,A59,42.68,2.0,3.0,h-2024-07-04_16-26-23.105710_ll_A59_C3.jpg,v-2024-07-04_16-26-23.105710_ll_A59_C3.jpg,-1.0,0.0
131,2,A60,43.77,2.0,3.0,h-2024-07-04_16-26-37.278482_ll_A60_C3.jpg,v-2024-07-04_16-26-37.278482_ll_A60_C3.jpg,-1.0,0.0
132,2,A61,33.79,2.0,3.0,h-2024-07-04_16-26-51.575585_ll_A61_C3.jpg,v-2024-07-04_16-26-51.575585_ll_A61_C3.jpg,-1.0,0.0
133,2,A62,28.18,2.0,3.0,h-2024-07-04_16-27-05.867307_ll_A62_C3.jpg,v-2024-07-04_16-27-05.867307_ll_A62_C3.jpg,-1.0,0.0
134,2,A63,41.26,2.0,3.0,h-2024-07-04_16-27-20.232756_ll_A63_C3.jpg,v-2024-07-04_16-27-20.232756_ll_A63_C3.jpg,-1.0,0.0
135,2,A64,44.32,2.0,3.0,h-2024-07-04_16-27-34.726545_ll_A64_C3.jpg,v-2024-07-04_16-27-34.726545_ll_A64_C3.jpg,-1.0,0.0
136,2,A65,36.79,2.0,3.0,h-2024-07-04_16-27-53.866071_ll_A65_C3.jpg,v-2024-07-04_16-27-53.866071_ll_A65_C3.jpg,-1.0,0.0
137,2,A66,37.49,2.0,3.0,h-2024-07-04_16-28-08.219425_ll_A66_C3.jpg,v-2024-07-04_16-28-08.219425_ll_A66_C3.jpg,-1.0,0.0
138,2,A67,29.78,2.0,3.0,h-2024-07-04_16-28-22.622316_ll_A67_C3.jpg,v-2024-07-04_16-28-22.622316_ll_A67_C3.jpg,-1.0,0.0
139,2,A68,46.81,2.0,3.0,h-2024-07-04_16-28-37.226686_ll_A68_C3.jpg,v-2024-07-04_16-28-37.226686_ll_A68_C3.jpg,-1.0,0.0
140,2,A69,31.53,2.0,3.0,h-2024-07-04_16-28-51.545384_ll_A69_C3.jpg,v-2024-07-04_16-28-51.545384_ll_A69_C3.jpg,-1.0,0.0
141,2,A70,36.25,2.0,3.0,h-2024-07-04_16-29-05.771303_ll_A70_C3.jpg,v-2024-07-04_16-29-05.771303_ll_A70_C3.jpg,-1.0,0.0
